Metabolites,FC,pvalue
MEDP0009,0.947881689,0.374481051
MEDP0011,0.891136668,0.150828709
MEDP0012,1.042078296,0.544859715
MEDP0016,0.948052909,0.613784298
MEDP0020,0.933370045,0.441753307
MEDP0026,0.897824652,0.034034334
MEDP0037,1.25018371,0.104408398
MEDP0039,1.085165843,0.47613799
MEDP0063,0.851316594,0.255455556
MEDP0066,0.941271581,0.480779698
MEDP0077,1.453945863,0.023892189
MEDP0078,0.963501364,0.441753307
MEDP0084,0.798092832,0.798524008
MEDP0086,1.039778188,0.784861764
MEDP0120,0.552391091,0.011774299
MEDP0125,1.061539266,0.570505314
MEDP0145,0.393772195,0.021623721
MEDP0146,0.952289864,0.434225414
MEDP0147,0.990112313,0.811031696
MEDP0148,0.438331331,0.016327956
MEDP0152,1.022006922,0.950483155
MEDP0154,1.041943667,0.386412011
MEDP0159,0.957046345,0.588648842
MEDP0165,0.920648302,0.798228177
MEDP0170,1.044773405,0.933440004
MEDP0174,0.999255683,0.990269013
MEDP0177,1.036473019,0.419203002
MEDP0178,0.989745522,0.94448875
MEDP0184,0.925574265,0.077122222
MEDP0242,0.850466581,0.134171054
MEDP0246,0.967889781,0.598994358
MEDP0250,0.576581736,0.084780974
MEDP0251,0.542366158,0.026709445
MEDP0277,1.059884152,0.98466114
MEDP0295,1.093957222,0.070704833
MEDP0296,1.111757825,0.151972801
MEDP0297,0.983412443,0.745390755
MEDP0299,0.972864585,0.16814955
MEDP0305,1.038588565,0.601787685
MEDP0307,0.840212975,0.249088312
MEDP0315,1.194260323,0.98466114
MEDP0318,1.054092885,0.495266356
MEDP0321,0.993637212,0.891542061
MEDP0325,0.976841765,0.632763917
MEDP0326,0.871024587,0.056229347
MEDP0336,0.965333196,0.66471561
MEDP0357,1.212722956,0.985828694
MEDP0380,1.133035669,0.03256779
MEDP0382,1.171234267,0.027126366
MEDP0384,1.078989233,0.273860329
MEDP0387,0.843478919,0.046262666
MEDP0389,1.0169073,0.532549374
MEDP0395,1.041314726,0.689193472
MEDP0401,0.992229456,0.991346835
MEDP0442,0.939318141,0.205567105
MEDP0453,0.952018214,0.386412011
MEDP0461,1.119572316,0.196620537
MEDP0518,0.774569753,0.812827243
MEDP0519,0.900208036,0.02685771
